Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
3M India,523395,Mumbai,31/12/2016,11265070,13075.06
63 Moons Tech.,526881,Mumbai,31/12/2016,46078537,381.48
A B B,500002,Mumbai,31/12/2016,211908375,23448.72
Aarti Inds.,524208,Mumbai,31/12/2016,82120383,6360.68
Aban Offshore,523204,Mumbai,31/12/2016,58365323,1433.45
ABG Shipyard,532682,Mumbai,31/12/2016,99683675,276.62
ACC,500410,Mumbai,31/12/2016,187787263,26739.03
Adani Ports,532921,Mumbai,31/12/2016,2070951761,62863.74
Adani Power,533096,Mumbai,31/12/2016,3500892183,13127.28
Adlabs Entert.,539056,Mumbai,31/12/2016,79897810,604.43
Agro Tech Foods.,500215,Mumbai,31/12/2016,24369264,1249.45
AIA Engg.,532683,Mumbai,31/12/2016,94320370,12907.78
Ajanta Pharma,532331,Mumbai,31/12/2016,88005000,15169.42
Akzo Nobel,500710,Mumbai,31/12/2016,46660314,7054.76
Alembic Pharma,533573,Mumbai,31/12/2016,188515914,10533.38
Allahabad Bank,532480,Mumbai,31/12/2016,743689856,5518.18
Allcargo Logist.,532749,Mumbai,31/12/2016,252095524,4288.62
Alok Inds.,521070,Mumbai,31/12/2016,1377317895,502.72
Amara Raja Batt.,500008,Mumbai,31/12/2016,170812500,15512.34
Ambuja Cem.,500425,Mumbai,31/12/2016,1985645229,45520.92
Amtek Auto,520077,Mumbai,31/12/2016,224755428,768.66
Anant Raj,515055,Mumbai,31/12/2016,295096335,1435.66
Andhra Bank,532418,Mumbai,31/12/2016,681163492,3848.57
Apar Inds.,532259,Mumbai,31/12/2016,38496769,2527.31
Apollo Hospitals,508869,Mumbai,31/12/2016,139125159,17600.77
Apollo Tyres,500877,Mumbai,31/12/2016,509024770,9330.42
Arvind Ltd,500101,Mumbai,31/12/2016,258359069,9768.56
Asahi India Glas,515030,Mumbai,31/12/2016,243089931,4905.76
Ashok Leyland,500477,Mumbai,31/12/2016,2845876634,26893.53
Ashoka Buildcon,533271,Mumbai,31/12/2016,187148811,3609.16
