Co_Name,NSE_Symbol,Date,Close Price,Year & Month[Latest],Grand Total[Latest]
ACC,ACC,28/11/2016,1317.7,201609,187787263
Aegis Logistics,AEGISCHEM,28/11/2016,144.3,201609,334000000
Amrutanjan Healt,AMRUTANJAN,28/11/2016,549.9,201609,14615315
Andhra Cements,ANDHRACEMT,28/11/2016,7.2,201609,293520492
Internat. Paper,IPAPPM,28/11/2016,304.35,201609,39770039
Apollo Tyres,APOLLOTYRE,28/11/2016,181.9,201609,509024770
Arvind Ltd,ARVIND,28/11/2016,359.15,201609,258359069
Ashok Leyland,ASHOKLEY,28/11/2016,78.15,201609,2845876634
Asian Hotels (N),ASIANHOTNR,28/11/2016,105.05,201609,19453229
Asian Paints,ASIANPAINT,28/11/2016,936.1,201609,959197790
Assam CO. (I),ASSAMCO,28/11/2016,4.75,201609,309760963
SKF India,SKFINDIA,28/11/2016,1280.2,201609,50835069
Astrazeneca Phar,ASTRAZEN,28/11/2016,963.15,201609,25000000
Atlas Cycles,ATLASCYCLE,28/11/2016,355.9,201609,3251919
Atul,ATUL,28/11/2016,2145.6,201609,29661733
Bajaj Holdings,BAJAJHLDNG,28/11/2016,2073.35,201609,111293510
Bajaj Electrical,BAJAJELEC,28/11/2016,211.7,201609,101088076
Balkrishna Inds,BALKRISIND,28/11/2016,925.55,201609,96658595
Ballarpur Inds.,BALLARPUR,28/11/2016,16.55,201609,655523839
Bannari Amm.Sug.,BANARISUG,28/11/2016,1914.6,201609,11439700
BASF India,BASF,28/11/2016,1055.15,201609,43285640
Bata India,BATAINDIA,28/11/2016,411.9,201609,128527540
Bayer Crop Sci.,BAYERCROP,28/11/2016,3922.4,201609,35354001
Berger Paints,BERGEPAINT,28/11/2016,225.8,201609,970953019
Bharat Bijlee,BBL,28/11/2016,766.7,201609,5651560
Bharat Forge,BHARATFORG,28/11/2016,908.8,201609,232794316
Bharat Gears,BHARATGEAR,28/11/2016,103.45,201609,7817833
Sintex Inds.,SINTEX,28/11/2016,76,201609,523472621
Birla Corpn.,BIRLACORPN,28/11/2016,662.8,201609,77005347
Bliss GVS Pharma,BLISSGVS,28/11/2016,139.05,201609,103146672
Blue Blends (I),BLUEBLENDS,28/11/2016,49.1,201609,20592788
Blue Star,BLUESTARCO,28/11/2016,463.45,201609,95436388
Bombay Burmah,BBTC,28/11/2016,506.75,201609,69771900
Bombay Dyeing,BOMDYEING,28/11/2016,45.85,201609,206534900
Reliance Infra.,RELINFRA,28/11/2016,461.9,201609,262990000
Abbott India,ABBOTINDIA,28/11/2016,4939.55,201609,21249302
Britannia Inds.,BRITANNIA,28/11/2016,2970.5,201609,120000815
CESC,CESC,28/11/2016,584.6,201609,132557043
Graphite India,GRAPHITE,28/11/2016,74.45,201609,195375594
Carborundum Uni.,CARBORUNIV,28/11/2016,256.65,201609,188581142
CEAT,CEATLTD,28/11/2016,1194.8,201609,40450092
ITD Cem,ITDCEM,28/11/2016,141.45,201609,155157900
Century Enka,CENTENKA,28/11/2016,284.95,201609,21850589
Century Textiles,CENTURYTEX,28/11/2016,768.3,201609,111695680
Exide Inds.,EXIDEIND,28/11/2016,174.4,201609,850000000
Cipla,CIPLA,28/11/2016,570.55,201609,804210471
DIC India,DICIND,28/11/2016,479.9,201609,9178977
Colgate-Palm.,COLPAL,28/11/2016,932.95,201609,271985634
Clariant Chemica,CLNINDIA,28/11/2016,724.3,201609,23081798
Tata Coffee,TATACOFFEE,28/11/2016,116.25,201609,186770370
Coromandel Inter,COROMANDEL,28/11/2016,246.4,201609,291621327
Cosmo Films,COSMOFILMS,28/11/2016,354.65,201609,19440076
Crompton Greaves,CROMPGREAV,28/11/2016,73.2,201609,626746142
DCM,DCM,28/11/2016,100.65,201609,18677749
Dalmia Bharat,DALMIASUG,28/11/2016,123.9,201609,80939303
Deccan Cements,DECCANCE,28/11/2016,917.45,201609,7003750
Deepak Fert.,DEEPAKFERT,28/11/2016,184.95,201609,88204943
Deepak Nitrite,DEEPAKNTR,28/11/2016,91.55,201609,116288190
DCW,DCW,28/11/2016,28.35,201609,219681407
EID Parry,EIDPARRY,28/11/2016,245.45,201609,175870898
Merck,MERCK,28/11/2016,1005.95,201609,16599382
EIH,EIHOTEL,28/11/2016,100.95,201609,571569414
Eicher Motors,EICHERMOT,28/11/2016,20213.9,201609,27198083
Elecon Engg.Co,ELECON,28/11/2016,52.25,201611,112199965
Electrost.Cast.,ELECTCAST,28/11/2016,22.55,201609,356955322
Elgi Equipment,ELGIEQUIP,28/11/2016,179.2,201609,158454508
GE T&D India,GET&D,28/11/2016,312.05,201609,256046535
Hinduja Foundrie,HINDUJAFO,28/11/2016,30.3,201609,207054576
Escorts,ESCORTS,28/11/2016,318.9,201609,122576878
Essel Propack,ESSELPACK,28/11/2016,237.95,201609,157101285
Everest Inds.,EVERESTIND,28/11/2016,199.25,201609,15388850
Excel Inds.,EXCELINDUS,28/11/2016,369.8,201609,12570692
Finolex Cables,FINCABLES,28/11/2016,405.05,201609,152939345
Nestle India,NESTLEIND,28/11/2016,6288.9,201609,96415716
GKW,GKWLIMITED,28/11/2016,480,201609,5966500
Delta Magnets,DELTAMAGNT,28/11/2016,34.65,201609,6471014
Gabriel India,GABRIEL,28/11/2016,108.4,201609,143643940
Gammon India,GAMMONIND,28/11/2016,12.2,201609,369573105
Garware-Wall Rop,GARWALLROP,28/11/2016,612.7,201609,21882060
Glaxosmit Pharma,GLAXO,28/11/2016,2725.75,201609,84703017
Goa Carbon,GOACARBON,28/11/2016,104.35,201609,9151052
Federal-Mogul Go,FMGOETZE,28/11/2016,501.95,201609,55632130
Kansai Nerolac,KANSAINER,28/11/2016,343.95,201609,538919720
Saregama India,SAREGAMA,28/11/2016,196,201609,17402938
GE Shipping Co,GESHIP,28/11/2016,358.2,201609,150777065
Greaves Cotton,GREAVESCOT,28/11/2016,125,201609,244206795
Grindwell Norton,GRINDWELL,28/11/2016,328.65,201609,110720000
Golden Tobacco,GOLDENTOBC,28/11/2016,58.8,201609,17608802
G N F C,GNFC,28/11/2016,213.05,201609,155418783
Setco Automotive,SETCO,28/11/2016,38.2,201609,133596675
Guj Alkalies,GUJALKALI,28/11/2016,362.6,201609,73436928
Ambuja Cem.,AMBUJACEM,28/11/2016,204.2,201609,1985645229
G S F C,GSFC,28/11/2016,85.05,201609,398477530
Grasim Inds,GRASIM,28/11/2016,840.05,201609,93356812
H D F C,HDFC,28/11/2016,1246.7,201609,1583983690
GlaxoSmith C H L,GSKCONS,28/11/2016,5004.9,201609,42055538
Harri. Malayalam,HARRMALAYA,28/11/2016,61.7,201609,18455405
Hero Motocorp,HEROMOTOCO,28/11/2016,3106.4,201609,199691464
A B B,ABB,28/11/2016,1060.2,201609,211908375
Hind.Construct.,HCC,28/11/2016,33.65,201609,779158906
Hind.Dorr-Oliver,HINDDORROL,28/11/2016,11.7,201609,72005808
Hind.Motors,HINDMOTORS,28/11/2016,7.15,201609,208659293
Bajaj Hindusthan,BAJAJHIND,28/11/2016,14.25,201609,1133559942
HSIL,HSIL,28/11/2016,300.75,201609,72296395
HEG,HEG,28/11/2016,159,201609,39959142
Hindalco Inds.,HINDALCO,28/11/2016,178.65,201609,2065188418
Hind.Composites,HINDCOMPOS,28/11/2016,1726.6,201609,4923000
Hind. Unilever,HINDUNILVR,28/11/2016,837.85,201609,2164274684
Sanofi India,SANOFI,28/11/2016,4342.3,201609,23030622
Hotel Leela Ven.,HOTELEELA,28/11/2016,15.5,201609,466608307
Hil Ltd,HIL,28/11/2016,606,201609,7462563
Zensar Tech.,ZENSARTECH,28/11/2016,1005.2,201609,44748250
GOCL Corpn.,GOCLCORP,28/11/2016,260.3,201609,49572490
Akzo Nobel,AKZOINDIA,28/11/2016,1426.05,201609,46660314
India Cements,INDIACEM,28/11/2016,117.85,201609,307178657
Indian CardCloth,INDIANCARD,28/11/2016,213.8,201609,4551120
IFB Inds.,IFBIND,28/11/2016,432.9,201609,40518796
Indian Hotels,INDHOTEL,28/11/2016,101.25,201609,989274015
Indian Hume Pipe,INDIANHUME,28/11/2016,789.8,201609,24223585
Linde India,LINDEINDIA,28/11/2016,360.25,201609,85284223
Aditya Bir. Nuv.,ABIRLANUVO,28/11/2016,1212.25,201609,130225691
Gillette India,GILLETTE,28/11/2016,4256.5,201609,32585217
Castrol India,CASTROLIND,28/11/2016,395.4,201609,494561192
Ingersoll-Rand,INGERRAND,28/11/2016,674.15,201609,31568000
Tata Inv.Corpn.,TATAINVEST,28/11/2016,552.35,201609,55095296
Tata Sponge Iron,TATASPONGE,28/11/2016,537.3,201609,15400000
ITC,ITC,28/11/2016,233.7,201609,12111559581
IVP,IVP,28/11/2016,125.15,201609,10326263
J B Chem & Pharm,JBCHEPHARM,28/11/2016,340.4,201609,84819975
JK Tyre & Indust,JKTYRE,28/11/2016,117.75,201609,226813480
Jay Shree Tea,JAYSREETEA,28/11/2016,93.9,201609,28877488
Jenson & Nich.,JENSONICOL,28/11/2016,8.2,201609,37425595
K C P,KCP,28/11/2016,87.45,201609,128921160
Kalyani Steels,KSL,28/11/2016,298.45,201609,43653060
Whirlpool India,WHIRLPOOL,28/11/2016,925.25,201609,126871830
Kesoram Inds.,KESORAMIND,28/11/2016,139.6,201609,117268650
Khaitan Elect.,KHAITANELE,28/11/2016,31.5,201609,11500000
Kirl. Brothers,KIRLOSBROS,28/11/2016,171.4,201609,79408926
Cummins India,CUMMINSIND,28/11/2016,764.85,201609,277200000
Kothari Sugars,KOTARISUG,28/11/2016,14.4,201606,82888580
KSB Pumps,KSBPUMPS,28/11/2016,600.5,201609,34807844
Trent,TRENT,28/11/2016,181.45,201609,332316730
Lak. Mach. Works,LAXMIMACH,28/11/2016,3923.65,201609,11266504
Lak. Prec. Screw,LAKPRE,28/11/2016,37.6,201609,10941667
Larsen & Toubro,LT,28/11/2016,1356.95,201609,932334222
LML,LML,28/11/2016,12.4,201609,81984320
Manugraph India,MANUGRAPH,28/11/2016,46.5,201609,30415061
The Ramco Cement,RAMCOCEM,28/11/2016,582.15,201609,238076780
Mah. Scooters,MAHSCOOTER,28/11/2016,1567.5,201609,11428568
M & M,M&M,28/11/2016,1162.5,201609,621092384
Mangalam Cement,MANGLMCEM,28/11/2016,256.15,201609,26693780
Mangalore Chem.,MANGCHEFER,28/11/2016,47,201609,118515150
Max Financial,MFSL,28/11/2016,538.7,201609,267034331
Bosch,BOSCHLTD,28/11/2016,19407.55,201610,30520740
Peninsula Land,PENINLAND,28/11/2016,14.75,201609,279201220
MRF,MRF,28/11/2016,47574.05,201609,4241143
Mukand,MUKANDLTD,28/11/2016,53.8,201609,141405861
Heidelberg Cem.,HEIDELBERG,28/11/2016,113.8,201609,226613116
NCL Inds.,NCLIND,28/11/2016,116.5,201609,36732790
NELCO,NELCO,28/11/2016,75.45,201609,22818400
Piramal Enterp.,PEL,28/11/2016,1650.05,201609,172563100
NOCIL,NOCIL,28/11/2016,65.85,201609,160786980
Orient Abrasives,ORIENTABRA,28/11/2016,34.15,201609,119639200
Orient Paper,ORIENTPPR,28/11/2016,71.8,201609,204868760
Oriental Hotels,ORIENTHOT,28/11/2016,22.3,201609,178599180
OCL India,OCL,28/11/2016,786.6,201609,56900220
Pfizer,PFIZER,28/11/2016,1819.15,201609,45747732
Phillips Carbon,PHILIPCARB,28/11/2016,227.4,201609,34467572
Prakash Inds.,PRAKASH,28/11/2016,48.75,201609,135601469
Surya Roshni,SURYAROSNI,28/11/2016,197.35,201609,43831250
Fag Bearings,FAGBEARING,28/11/2016,4074.55,201609,16617270
Premier,PREMIER,28/11/2016,30.8,201609,30372570
Pressman Adv.,PRESSMN,28/11/2016,42.05,201609,23482843
Pudumjee Pulp,PDUMJEPULP,28/11/2016,20.65,201609,41000000
Punjab Chemicals,PUNJABCHEM,28/11/2016,179.7,201609,12262185
Rallis India,RALLIS,28/11/2016,203.45,201609,194468890
Rane Holdings,RANEHOLDIN,28/11/2016,802.75,201609,14277809
Raymond,RAYMOND,28/11/2016,513.75,201609,61380854
Reliance Inds.,RELIANCE,28/11/2016,986.65,201609,3243105885
Revathi Equipmnt,REVATHI,28/11/2016,580,201609,3066943
P & G Hygiene,PGHH,28/11/2016,6596.45,201609,32460736
Rollatainers,ROLLT,28/11/2016,17.35,201609,250130000
Vedanta,VEDL,28/11/2016,228.6,201609,2964694239
Seshasayee Paper,SESHAPAPER,28/11/2016,771.6,201609,12613628
Shalimar Paints,SHALPAINTS,28/11/2016,146.35,201609,18945975
Shree Cement,SHREECEM,28/11/2016,15448.15,201609,34837225
SRF,SRF,28/11/2016,1528.45,201609,57420500
Siemens,SIEMENS,28/11/2016,1078.75,201609,356120255
Siyaram Silk,SIYSIL,28/11/2016,1234.25,201609,9374016
Somany Ceramics,SOMANYCERA,28/11/2016,529.65,201609,42379426
S P I C,SPIC,28/11/2016,20.05,201606,220707136
TVS Srichakra,TVSSRICHAK,28/11/2016,3401.8,201609,7657050
Standard Inds.,SIL,28/11/2016,24.2,201609,64328941
JK Lakshmi Cem.,JKLAKSHMI,28/11/2016,378.6,201609,117670066
Sundaram Brake,SUNDRMBRAK,28/11/2016,427.75,201609,3934575
Sundaram Clayton,SUNCLAYLTD,28/11/2016,2860.05,201609,20232085
Sundram Fasten.,SUNDRMFAST,28/11/2016,293.25,201609,210128370
Sundaram Finance,SUNDARMFIN,28/11/2016,1199.2,201609,111103860
Supreme Inds.,SUPREMEIND,28/11/2016,845.85,201609,127026870
SML ISUZU,SMLISUZU,28/11/2016,1111.35,201609,14471646
